,,,,,
,Temps (s),Température (°C),Pression (Pa),Altitude (m),niveau CO2
,0,17.48,99813.49,124.54,27
,0,17.49,99814.79,124.43,26
,1,17.49,99814.96,124.41,26
,2,17.69,99812.3,124.64,26
,3,20.06,99805.71,125.76,26
,4,21.32,99797.85,125.85,25
,5,22.04,99794.67,126.12,26
,6,23.78,99790.86,126.44,26
,7,24.63,99793.94,126.18,26
,8,24.84,99795.05,126.09,28
,10,24.45,99795.46,126.06,29
,11,24.26,99800.69,125.61,28
,12,23.89,99802.76,125.44,28
,13,23.45,99800.98,125.59,27
,14,22.95,99803.56,125.37,27
,15,22.58,99806.75,125.1,27
,16,22.15,99806.13,125.16,27
,17,21.75,99810.65,124.78,27
,18,21.49,99812.23,124.64,27
,20,21.18,99809.02,124.91,28
,21,20.94,99812.14,124.36,27
,22,20.72,99813.32,124.55,28
,23,20.5,99815.94,124.33,28
,24,20.3,99817.82,124.17,28
,25,20.05,99820.89,123.91,34
,26,20.01,99822.78,123.75,61
,27,19.98,99822.58,123.77,79
,28,19.86,99819.44,124.03,91
,30,19.72,99821.81,123.94,102
,31,19.62,99819.38,124.04,105
,32,19.4,99818.42,124.12,75
,33,19.24,99820.8,124.06,60
,34,19.11,99825.47,123.53,52
,35,18.99,99820.22,123.97,47
,36,18.89,99819,124,44
,37,18.88,99818.21,124.14,42
,39,18.75,99816.74,124.26,40
,40,18.71,99819.46,124.03,40
,41,18.66,99815.96,124.33,37
,42,18.62,99816.42,124.29,37
,43,18.62,99817.49,124.2,36
,44,18.59,99820.78,123.92,35
,45,18.55,99815.58,124.36,35
,46,18.52,99814.17,124.48,34
,48,18.48,99816.52,124.28,32